,Tweets,cleanedTweets
0,Haven't supported Morocco in this tournament until today.Make #Messi𓃵   the king.,Haven't supported Morocco in this tournament until today.Make Messi𓃵   the king.
1,@TrollFootball Irony is that Ronaldo took &amp; scored more penalty in his career than Messi until today. But Messi scored the most important ones. 🐐 for a reason!, Irony is that Ronaldo took &amp; scored more penalty in his career than Messi until today. But Messi scored the most important ones. 🐐 for a reason!
2,"bro hasn’t seen the pitch once until today, Messi got him blacklisted since he played with Ronaldo on juventus","bro hasn’t seen the pitch once until today, Messi got him blacklisted since he played with Ronaldo on juventus"
3,"Your GOAT was never been in doubt as to who the real GOAT is. Messi is in a class of his own. It took most of you until today to realize this. 😂😂 Better late than never. 

Enjoy your stan-ship, but don't forget the class of your GOAT.","Your GOAT was never been in doubt as to who the real GOAT is. Messi is in a class of his own. It took most of you until today to realize this. 😂😂 Better late than never.   Enjoy your stan-ship, but don't forget the class of your GOAT."
4,@caroline_szwed They never played against anyone near Messi's level until today., They never played against anyone near Messi's level until today.
5,"@ESPNFC up until today, Modric was a contender for best player in the tournament. He wins difficult balls, defends/controls midfield, drives into space, creates chances to score, for himself and others. But today, Messi and Argentina were just more dynamic."," up until today, Modric was a contender for best player in the tournament. He wins difficult balls, defends/controls midfield, drives into space, creates chances to score, for himself and others. But today, Messi and Argentina were just more dynamic."
6,"@Blue_Footy Man could have just faked an injury, now anyone who meet him will want to try rubbish him, I feel bad for him cos he was legit having an awesome tournament until today, Messi is wicked sha, reduced his price tag by more than half the original price, anyways he’s Chelsea material"," Man could have just faked an injury, now anyone who meet him will want to try rubbish him, I feel bad for him cos he was legit having an awesome tournament until today, Messi is wicked sha, reduced his price tag by more than half the original price, anyways he’s Chelsea material"
7,@piersmorgan You literally had Messi higher than Maradona and R9 until today. You're a weird weird person., You literally had Messi higher than Maradona and R9 until today. You're a weird weird person.
8,"@SSFootball Throughout the tournament Messi looked subdued. Restricting himself mostly to assists and penalties until today when a Croatian defender, touted as the ""best"", escorted Messi like a VIP from midfield to the goalmouth."," Throughout the tournament Messi looked subdued. Restricting himself mostly to assists and penalties until today when a Croatian defender, touted as the ""best"", escorted Messi like a VIP from midfield to the goalmouth."
9,@jv_mcginnis I was never on the Messi train until today, I was never on the Messi train until today
10,Gvaridol yiii lasan!!  Played exceptionally well up until today. Is it the Messi factor or emotions? Because he’s been &amp;@$&amp; today.,Gvaridol yiii lasan!!  Played exceptionally well up until today. Is it the Messi factor or emotions? Because he’s been &amp;@$&amp; today.
