,Tweets,cleanedTweets
0,@craigamorris @Reagan_Airport @SouthwestAir We flew in to D.C. on Christmas from Midway. Flight was 9 hours late and the wrong luggage got loaded on our plane. Took until today for them to get our bags here.,   We flew in to D.C. on Christmas from Midway. Flight was 9 hours late and the wrong luggage got loaded on our plane. Took until today for them to get our bags here.
1,"Up until today @SouthwestAir was my Go-To airline, never again… never the fuck again","Up until today  was my Go-To airline, never again… never the fuck again"
2,@SouthwestAir my trust in SWA is irretrievably broken. A Christmas Eve flight between TPA and IND was canceled and rebooked until today. Also now canceled. Earliest replacement? Thursday. Enough. I've spent an unplanned grand including $450 last minute one way on Allegiant. Bye., my trust in SWA is irretrievably broken. A Christmas Eve flight between TPA and IND was canceled and rebooked until today. Also now canceled. Earliest replacement? Thursday. Enough. I've spent an unplanned grand including $450 last minute one way on Allegiant. Bye.
3,"@SouthwestAir Up until today, southwest has never done me dirty. I can’t believe I had re-check my bags into the same plane that had been cancelled just to get on half a flight to be stuck in San Jose. Didn’t even bother (calling) customer service. EVERYONE was there. Line went out the door. https://t.co/UvVaLt4PHr"," Up until today, southwest has never done me dirty. I can’t believe I had re-check my bags into the same plane that had been cancelled just to get on half a flight to be stuck in San Jose. Didn’t even bother (calling) customer service. EVERYONE was there. Line went out the door. "
4,"@SouthwestAir I've been a loyal customer until today.  After this airline debacle and you want to increase companion pass points on 01/01/23?  Let's be real, do better!
Vegas vacation ruined."," I've been a loyal customer until today.  After this airline debacle and you want to increase companion pass points on 01/01/23?  Let's be real, do better! Vegas vacation ruined."
5,@RepDennisBonnen @SouthwestAir Seriously! I thought I’d only have to hang out with these crazy people I’m related to until today. But they cancelled my flight this evening so… thanks @SouthwestAir,  Seriously! I thought I’d only have to hang out with these crazy people I’m related to until today. But they cancelled my flight this evening so… thanks 
6,"@SouthwestAir It’s been 5 hrs and still can’t get through on the phone - just a burst signal. Flights Xmas eve cancelled, couldn’t get on another on me until today, that one also gets cancelled and we reviewed no notice. Now Iine with 200+ people. Can’t go online to rebook.  @SouthwestAir help"," It’s been 5 hrs and still can’t get through on the phone - just a burst signal. Flights Xmas eve cancelled, couldn’t get on another on me until today, that one also gets cancelled and we reviewed no notice. Now Iine with 200+ people. Can’t go online to rebook.   help"
7,"@SouthwestAir y’all have always impressed me with your customer service. Until today. 

gate agents have either provided misinformation or have simply shut down lines with no warning. 

I get it. Y’all are tired. We are too. I just want you to be that super service I remembered", y’all have always impressed me with your customer service. Until today.   gate agents have either provided misinformation or have simply shut down lines with no warning.   I get it. Y’all are tired. We are too. I just want you to be that super service I remembered
8,@GreyDeLisle @SouthwestAir My wife flies for them and wasn't able to make it home until today. The delays and cancelations are not on the weather.,  My wife flies for them and wasn't able to make it home until today. The delays and cancelations are not on the weather.
9,.@SouthwestAir ! WOW!! Have never have had such a horrible experience until today! The lack of communication=missed flight!!!  Your phone lines aren’t even working. Did y’all get #hacked ?,. ! WOW!! Have never have had such a horrible experience until today! The lack of communication=missed flight!!!  Your phone lines aren’t even working. Did y’all get hacked ?
10,"@SouthwestAir been on hold for five straight hours just to talk to someone about our options to get home for christmas. still nothing. our flight was cancelled out of no where and website sucks too. legit zero solution offered. how is this ok?! we were loyal to SW, until today."," been on hold for five straight hours just to talk to someone about our options to get home for christmas. still nothing. our flight was cancelled out of no where and website sucks too. legit zero solution offered. how is this ok?! we were loyal to SW, until today."
11,"I didn’t know until today there’s a “free speech booth” at airports. It is very strategically placed, specifically at the back of the  @SouthwestAir check-in line. No better place to entice folks with the question “Will suffering end?” https://t.co/TaYv3Jw43q","I didn’t know until today there’s a “free speech booth” at airports. It is very strategically placed, specifically at the back of the   check-in line. No better place to entice folks with the question “Will suffering end?” "
12,@SouthwestAir I was a big fan until today. Cancelled my flight home to AUS and ZERO help to try to get me and my kids home. Do o get a refund? What about the rental car I had to get? Can’t get anyone on the phone and waited nearly three hours to speak to the gate agent…ZERO help, I was a big fan until today. Cancelled my flight home to AUS and ZERO help to try to get me and my kids home. Do o get a refund? What about the rental car I had to get? Can’t get anyone on the phone and waited nearly three hours to speak to the gate agent…ZERO help
13,"@SouthwestAir I always had a good opinion of your airline until today when you left me stranded in St Louis and refusing to put me in a hotel. I was rerouted from Baltimore, have been traveling for hours. Never again #SouthwestAirlines suck! Use #united or #delta instead"," I always had a good opinion of your airline until today when you left me stranded in St Louis and refusing to put me in a hotel. I was rerouted from Baltimore, have been traveling for hours. Never again SouthwestAirlines suck! Use united or delta instead"
14,"@SouthwestAir was my favorite airlines until today. I paid for a flight, the money left my account and they are telling me that my name is not on the flight. The only suggestion they had was for me to book and pay again. WTF?!? I am a teacher. Who do you think I am #pissed"," was my favorite airlines until today. I paid for a flight, the money left my account and they are telling me that my name is not on the flight. The only suggestion they had was for me to book and pay again. WTF?!? I am a teacher. Who do you think I am pissed"
15,Never knew @SouthwestAir flight attendants to be rude to CHILDREN until today.,Never knew  flight attendants to be rude to CHILDREN until today.
16,"@Robert_Ingle @SouthwestAir @MCO True, we are supposed to arrive at 7pm on Thursday. Still up in the air. I’ve never wanted to fist fight a hurricane until today.","   True, we are supposed to arrive at 7pm on Thursday. Still up in the air. I’ve never wanted to fist fight a hurricane until today."
17,"@SouthwestAir This is lovely,  thanks for highlighting the ways in which you charge people extra and spinning it as a romantic gesture.  Seriously, was a huge fan until today"," This is lovely,  thanks for highlighting the ways in which you charge people extra and spinning it as a romantic gesture.  Seriously, was a huge fan until today"
18,Never understood or knew about @SouthwestAir pre board process until today. Spent $50 to upgrade my boarding position only to have about 15 bullshit preboard passengers walk ahead of me and take all the good seats. What a joke. Never paying to upgrade again.,Never understood or knew about  pre board process until today. Spent $50 to upgrade my boarding position only to have about 15 bullshit preboard passengers walk ahead of me and take all the good seats. What a joke. Never paying to upgrade again.
